"Identifier","StartDate"
"2167113028","01-01-2007"
"2167113226","01-01-2007"
"2167113523","01-01-2007"
"2167113622","01-01-2007"
"2167113820","01-01-2007"
"2167113919","01-01-2007"
"2167114018","01-01-2007"
"2167114117","01-01-2007"
"2167114315","01-01-2007"
"2167114414","01-01-2007"
"2167114513","01-01-2007"
"2167114612","01-01-2007"
"2167114711","01-01-2007"
"2167114909","01-01-2007"
"2167115107","01-01-2007"
"2167115404","01-01-2007"
"2167115503","01-01-2007"
"2167115602","01-01-2007"
"2167116095","01-01-2007"
"2167116194","01-01-2007"
"2167116293","01-01-2007"
"2167116491","01-01-2007"
"2167116689","01-01-2007"
"2167116887","01-01-2007"
"2167117184","01-01-2007"
"2167117283","01-01-2007"
"2167117382","01-01-2007"
"2167117580","01-01-2007"
"2167117778","01-01-2007"
"2167117976","01-01-2007"
"2167118075","01-01-2007"
"2167118174","01-01-2007"
"2167118273","01-01-2007"
"2167118372","01-01-2007"
"2167118471","01-01-2007"
"2167118570","01-01-2007"
"2167118669","01-01-2007"
"2167118867","01-01-2007"
"2167118966","01-01-2007"
"2167119065","01-01-2007"
"2167119164","01-01-2007"
"2167119263","01-01-2007"
"2167119362","01-01-2007"
"2167119461","01-01-2007"
"2167119560","01-01-2007"
"2167119659","01-01-2007"
"2167119758","01-01-2007"
"2167119857","01-01-2007"
"2167119956","01-01-2007"
"2167120055","01-01-2007"
"2167120154","01-01-2007"
"2167120253","01-01-2007"
"2167120352","01-01-2007"
"2167120451","01-01-2007"
"2167120550","01-01-2007"
"2167120649","01-01-2007"
"2167120748","01-01-2007"
"2167120946","01-01-2007"
"2167121045","01-01-2007"
"2167121144","01-01-2007"
"2167121441","01-01-2007"
"2167121540","01-01-2007"
"2167121738","01-01-2007"
"2167122035","01-01-2007"
"2167122332","01-01-2007"
"2167122431","01-01-2007"
"2167122530","01-01-2007"
"2167122629","01-01-2007"
"2167122827","01-01-2007"
"2167122926","01-01-2007"
"2167123124","01-01-2007"
"2167123223","01-01-2007"
"2167123421","01-01-2007"
"2167123520","01-01-2007"
"2167123718","01-01-2007"
"2167123817","01-01-2007"
"2167123916","01-01-2007"
"2167124015","01-01-2007"
"2167124114","01-01-2007"
"2167124213","01-01-2007"
"2167124411","01-01-2007"
"2167124510","01-01-2007"
"2167124609","01-01-2007"
"2167124708","01-01-2007"
"2167124906","01-01-2007"
"2167125005","01-01-2007"
"2167125104","01-01-2007"
"2167125203","01-01-2007"
"2167125302","01-01-2007"
"2167125401","01-01-2007"
"2167125696","01-01-2007"
"2167125894","01-01-2007"
"2167126092","01-01-2007"
"2167126191","01-01-2007"
"2167126290","01-01-2007"
"2167126389","01-01-2007"
"2167126488","01-01-2007"
"2167126587","01-01-2007"
"2167126686","01-01-2007"
"2167126785","01-01-2007"
"2167126884","01-01-2007"
"2167126983","01-01-2007"
"2167127082","01-01-2007"
"2167127181","01-01-2007"
"2167127280","01-01-2007"
"2167127379","01-01-2007"
"2167127676","01-01-2007"
"2167127775","01-01-2007"
"2167127973","01-01-2007"
"2167128072","01-01-2007"
"2167128171","01-01-2007"
"2167128567","01-01-2007"
"2167129359","01-01-2007"
